state,district,alt_district_names,GHI_kWhperm2_day,wind_energy_kWhperm2_100m_day,wind_energy_kWhperm2_150m_day,wind_energy_kWhperm2_200m_day,avg_temp_C,min_temp_C,max_temp_C,population_oct25,per_capita_consumption_kWh,total_energy_consumption_district_yearly_MW,dist_to_nearest_substation_km,dist_to_nearest_plant_km,total_area_km2,shrubland_area_km2,Grassland_km2,Cropland_km2,Builtup_km2,vegetation_km2,water_bodies_km2,Herbaceous_km2,Mangroves_km2,snow_ice_km2,moss&lichen_km2
Jharkhand,PashchimiSinghbhum,SinghbhumWest,5.059114522,0.372912137,0.569479676,0.758059488,24.94381092,11.62548336,38.0340458,1981022,867.373381,196.1513413,76.73820048,68.50069719,7791.51661,28.3110735,682.1647869,2214.861212,36.02215327,22.27030961,28.77692244,,,,
Jharkhand,PurbiSinghbhum,SinghbhumEast,4.956818018,0.381117045,0.569211781,0.748125828,25.55441144,12.26338765,38.02046409,2830505,867.373381,280.2630927,29.3166726,32.97766179,3860.341798,16.84564374,418.5212478,1485.129153,87.15308454,16.76953801,39.93110367,0.007166907,,,
Jharkhand,Ramgarh,,5.016215861,0.502973966,0.722233705,0.912748887,24.08758751,10.75339392,38.72333319,1417563,867.373381,140.360321,17.9655088,115.1052362,1460.562191,5.652044517,254.8517922,569.3531522,59.29838943,13.28539748,20.90953584,,,,
Jharkhand,Ranchi,,5.077989572,0.609225907,0.891128871,1.143761714,23.5485025,10.46691505,38.01390563,4327437,867.373381,428.4821531,32.47231562,108.3474037,5298.568324,31.29745529,906.1731985,2437.473271,156.8986911,20.47679119,43.28871418,0.00537518,,,
Jharkhand,Sahibganj,,4.631155228,0.581991294,0.841357833,1.072911447,24.78294933,9.943326867,36.67402185,1179718,867.373381,116.8100445,35.71724783,243.1139673,2416.216737,6.613007268,106.7898972,1224.465938,49.44039448,18.45768584,83.5437791,14.9176605,,,
Jharkhand,Saraikela-kharsawan,,5.020443249,0.324198643,0.470225901,0.6027117,25.24225268,11.86615342,38.62724891,1454902,867.373381,144.0574505,12.97160148,27.39158139,2867.316013,10.55284363,438.9494064,1164.35564,44.03048903,13.93980432,92.27383944,0.052130715,,,
Jharkhand,Simdega,,5.133409558,0.352981624,0.535543922,0.696666679,24.71816431,11.61295689,39.24982561,821165,867.373381,81.30783817,100.6606375,56.19319131,4091.18505,4.693044134,656.1138486,1339.830527,7.15700962,33.39249572,26.23650995,0.000255961,,,
Karnataka,Bagalkot,,5.404457736,1.22621482,1.69466709,2.149233213,26.1158918,15.83148193,36.24117667,2144064,1375.562323,336.6773581,33.02040432,190.0297579,6802.968521,1165.153385,383.1015413,4432.38655,128.4768718,38.34576683,193.7468303,25.70777993,,,
Karnataka,Bangalore,,5.373644394,1.144240705,1.603680587,2.047589643,23.15749235,14.98837209,34.26895213,8616501,1375.562323,1353.029011,2.289086001,4.152596002,2229.716332,285.0827435,194.8010482,659.8545474,657.3021047,28.50859003,20.48088656,0.586577192,,,
Karnataka,BangaloreRural,,5.407402718,1.246904886,1.729355392,2.192678524,23.175,14.77381261,34.49479167,1794446,1375.562323,281.7776608,11.31593789,2.365145583,2360.404792,396.345729,98.52056658,1488.370642,135.5896002,25.90862396,9.147873939,0.361587511,,,
